anio,mes,mes_nombre,indice_ipc_base_dic2018_100
2019,8,Agosto,103.03
2019,9,Septiembre,103.26
2019,10,Octubre,103.43
2019,11,Noviembre,103.54
2019,12,Diciembre,103.8
2020,1,Enero,104.24
2020,2,Febrero,104.94
2020,3,Marzo,105.53
2020,4,Abril,105.7
2020,5,Mayo,105.36
2020,6,Junio,104.97
2020,7,Julio,104.97
2020,8,Agosto,104.96
2020,9,Septiembre,105.29
2020,10,Octubre,105.23
2020,11,Noviembre,105.08
2020,12,Diciembre,105.48
2021,1,Enero,105.91
2021,2,Febrero,106.58
2021,3,Marzo,107.12
2021,4,Abril,107.76
2021,5,Mayo,108.84
2021,6,Junio,108.78
2021,7,Julio,109.14
2021,8,Agosto,109.62
2021,9,Septiembre,110.04
2021,10,Octubre,110.06
2021,11,Noviembre,110.6
2021,12,Diciembre,111.41
2022,1,Enero,113.26
2022,2,Febrero,115.11
2022,3,Marzo,116.26
2022,4,Abril,117.71
2022,5,Mayo,118.7
2022,6,Junio,119.31
2022,7,Julio,120.27
2022,8,Agosto,121.5
2022,9,Septiembre,122.63
2022,10,Octubre,123.51
2022,11,Noviembre,124.46
2022,12,Diciembre,126.03
2023,1,Enero,128.27
2023,2,Febrero,130.4
2023,3,Marzo,131.77
2023,4,Abril,132.8
2023,5,Mayo,133.38
2023,6,Junio,133.78
2023,7,Julio,134.45
2023,8,Agosto,135.39
2023,9,Septiembre,136.11
2023,10,Octubre,136.45
2023,11,Noviembre,137.09
2023,12,Diciembre,137.72
2024,1,Enero,138.98
2024,2,Febrero,140.49
2024,3,Marzo,141.48
2024,4,Abril,142.32
2024,5,Mayo,142.92
2024,6,Junio,143.38
2024,7,Julio,143.67
2024,8,Agosto,143.67
2024,9,Septiembre,144.02
2024,10,Octubre,143.83
2024,11,Noviembre,144.22
2024,12,Diciembre,144.88
2025,1,Enero,146.24
2025,2,Febrero,147.9
2025,3,Marzo,148.68
2025,4,Abril,149.66
2025,5,Mayo,150.14
2025,6,Junio,150.3
2025,7,Julio,150.71
2025,8,Agosto,150.99
2025,9,Septiembre,151.48
2025,10,Octubre,151.76
2025,11,Noviembre,151.87
2025,12,Diciembre,152.27
2026,1,Enero,154.07
2026,2,Febrero,155.73
2026,3,Marzo,156.94
